timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1700552087397,2357,Click On Login Button,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-14,,true,,8167,1217,20,20,null,0,2,0
1700552087398,2357,/login-113,200,OK,Thread Group 1-14,text,true,,8167,1217,20,20,https://www.tab66aud.com/login,2357,0,0
1700552087393,2371,Click On Login Button,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-16,,true,,8186,1217,20,20,null,0,0,0
1700552087393,2371,/login-113,200,OK,Thread Group 1-16,text,true,,8186,1217,20,20,https://www.tab66aud.com/login,2371,0,0
1700552078139,11638,Log Out,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,24212,3900,20,20,null,0,1,0
1700552078139,6974,/logout-400,200,OK,Thread Group 1-4,text,true,,13055,2680,20,20,https://www.tab66aud.com,2353,0,0
1700552078139,2353,/logout-400-0,302,Found,Thread Group 1-4,text,true,,1905,1377,20,20,https://www.tab66aud.com/logout,2353,0,0
1700552080492,4621,/logout-400-1,200,OK,Thread Group 1-4,text,true,,11150,1303,20,20,https://www.tab66aud.com,4621,0,0
1700552085112,4664,/-403,200,OK,Thread Group 1-4,text,true,,11157,1220,20,20,https://www.tab66aud.com/,4664,0,0
1700552087458,2401,Click On Login Button,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-15,,true,,8193,1217,20,20,null,0,1,0
1700552087458,2401,/login-113,200,OK,Thread Group 1-15,text,true,,8193,1217,20,20,https://www.tab66aud.com/login,2401,0,0
1700552087458,2402,Click On Login Button,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,8168,1217,20,20,null,0,1,0
1700552087458,2402,/login-113,200,OK,Thread Group 1-2,text,true,,8168,1217,20,20,https://www.tab66aud.com/login,2402,0,0
1700552087551,2453,Click On Login Button,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-13,,true,,8160,1217,20,20,null,0,0,0
1700552087551,2453,/login-113,200,OK,Thread Group 1-13,text,true,,8160,1217,20,20,https://www.tab66aud.com/login,2453,0,0
1700552087458,4658,Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-17,,true,,11149,1169,20,20,null,0,1,0
1700552087458,4658,/-37,200,OK,Thread Group 1-17,text,true,,11149,1169,20,20,https://www.tab66aud.com/,4658,0,0
1700552082662,9547,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-9,,true,,23741,5028,20,20,null,0,2,0
1700552082662,2432,/login-141,200,OK,Thread Group 1-9,text,true,,1591,1371,20,20,https://www.tab66aud.com/login,2432,0,0
1700552085094,4729,/login-144,200,OK,Thread Group 1-9,text,true,,12060,2437,20,20,https://www.tab66aud.com/deposits,2344,0,0
1700552085094,2344,/login-144-0,302,Found,Thread Group 1-9,text,true,,1948,1217,20,20,https://www.tab66aud.com/login,2344,0,0
1700552087438,2385,/login-144-1,200,OK,Thread Group 1-9,text,true,,10112,1220,20,20,https://www.tab66aud.com/deposits,2384,0,0
1700552089824,2386,/deposits-145,200,OK,Thread Group 1-9,text,true,,10090,1220,20,20,https://www.tab66aud.com/deposits,2386,0,0
1700552080540,11727,Log Out,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,24240,3900,20,20,null,0,2,0
1700552080541,7095,/logout-400,200,OK,Thread Group 1-3,text,true,,13043,2680,20,20,https://www.tab66aud.com,2413,0,0
1700552080541,2413,/logout-400-0,302,Found,Thread Group 1-3,text,true,,1901,1377,20,20,https://www.tab66aud.com/logout,2413,0,0
1700552082954,4682,/logout-400-1,200,OK,Thread Group 1-3,text,true,,11142,1303,20,20,https://www.tab66aud.com,4682,0,0
1700552087636,4632,/-403,200,OK,Thread Group 1-3,text,true,,11197,1220,20,20,https://www.tab66aud.com/,4632,0,0
1700552087635,4648,Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,11151,1169,20,20,null,0,0,0
1700552087635,4648,/-37,200,OK,Thread Group 1-1,text,true,,11151,1169,20,20,https://www.tab66aud.com/,4648,0,0
1700552082642,9698,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-8,,true,,23779,5028,20,20,null,0,1,0
1700552082643,2530,/login-141,200,OK,Thread Group 1-8,text,true,,1591,1371,20,20,https://www.tab66aud.com/login,2530,0,0
1700552085173,4775,/login-144,200,OK,Thread Group 1-8,text,true,,12097,2437,20,20,https://www.tab66aud.com/deposits,2351,0,0
1700552085173,2351,/login-144-0,302,Found,Thread Group 1-8,text,true,,1946,1217,20,20,https://www.tab66aud.com/login,2351,0,0
1700552087525,2423,/login-144-1,200,OK,Thread Group 1-8,text,true,,10151,1220,20,20,https://www.tab66aud.com/deposits,2423,0,0
1700552089948,2393,/deposits-145,200,OK,Thread Group 1-8,text,true,,10091,1220,20,20,https://www.tab66aud.com/deposits,2392,0,0
1700552087744,4701,Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-18,,true,,11199,1169,20,20,null,0,1,0
1700552087745,4701,/-37,200,OK,Thread Group 1-18,text,true,,11199,1169,20,20,https://www.tab66aud.com/,4701,0,0
1700552082999,9591,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-10,,true,,23756,5029,20,20,null,0,2,0
1700552082999,2417,/login-141,200,OK,Thread Group 1-10,text,true,,1593,1372,20,20,https://www.tab66aud.com/login,2417,0,0
1700552085417,4759,/login-144,200,OK,Thread Group 1-10,text,true,,12058,2437,20,20,https://www.tab66aud.com/deposits,2352,0,0
1700552085417,2352,/login-144-0,302,Found,Thread Group 1-10,text,true,,1950,1217,20,20,https://www.tab66aud.com/login,2352,0,0
